method,seed_track_id,playlist_pairwise_similarity,playlist_adjacent_similarity,playlist_seed_genre_fraction,playlist_monotonic_drift_fraction,playlist_final_seed_distance,random_pairwise_similarity,random_adjacent_similarity,random_seed_genre_fraction,random_monotonic_drift_fraction,random_final_seed_distance
classification_embedding,country/country.00015,0.8172417283058167,0.929635763168335,0.8,1.0,0.4642977714538574,0.4122209620475769,0.4046135264635086,0.18199999999999997,0.5666666666666668,0.5692935681343079
classification_embedding,country/country.00058,0.8207845687866211,0.9257210493087769,0.3,1.0,0.40540146827697754,0.4304107177257538,0.4147555637359619,0.18600000000000003,0.5711111111111112,0.5614836823940277
classification_embedding,country/country.00089,0.8393014073371887,0.9446226954460144,0.8,0.8888888888888888,0.4371863603591919,0.4284701031446457,0.40875161468982696,0.188,0.5488888888888889,0.5194234919548034
classification_embedding,country/country.00095,0.7833000421524048,0.9106280207633972,0.6,1.0,0.4124429225921631,0.43628119349479677,0.4314129048585892,0.184,0.5511111111111111,0.5387241113185882
classification_embedding,country/country.00006,0.7763291001319885,0.9165555238723755,0.7,1.0,0.44312942028045654,0.414914253950119,0.4111588317155838,0.19999999999999996,0.5511111111111111,0.5663426744937897
classification_embedding,disco/disco.00093,0.8334041833877563,0.939818263053894,1.0,1.0,0.41813719272613525,0.4218721753358841,0.42412525177001953,0.17599999999999993,0.5599999999999999,0.5467312228679657
classification_embedding,disco/disco.00040,0.7886310815811157,0.9058058857917786,0.6,1.0,0.3606112003326416,0.42204466462135315,0.3966261652112007,0.166,0.5311111111111111,0.47859437704086305
classification_embedding,disco/disco.00070,0.78246009349823,0.9142375588417053,0.8,1.0,0.41115790605545044,0.4250974375009537,0.43127569675445554,0.22800000000000004,0.5688888888888889,0.5360344409942627
classification_embedding,disco/disco.00032,0.8205090761184692,0.9198734760284424,1.0,0.8888888888888888,0.32191604375839233,0.43851263463497164,0.4385658425092697,0.192,0.5666666666666667,0.48616719484329224
classification_embedding,disco/disco.00063,0.873022735118866,0.9381849765777588,1.0,1.0,0.2829863429069519,0.42131678938865663,0.416675745844841,0.17799999999999996,0.5377777777777779,0.5174535286426544
